,date,open,high,low,close,am_volume,pm_volume,total_volume
0,2018-02-01,51.3,51.59,51.3,51.58,553.1,325.05,878.15
1,2018-02-02,51.63,51.76,51.45,51.45,609.7,511.7,1121.4
2,2018-02-05,51.62,51.67,51.42,51.51,520.8,460.3,981.1
3,2018-02-06,51.65,51.65,51.46,51.46,625.1,295.2,920.3
4,2018-02-07,51.31,51.35,51.05,51.12,613.55,420.0,1033.55
5,2018-02-08,51.23,51.4,51.18,51.31,523.0,373.0,896.0
6,2018-02-09,51.58,51.79,51.43,51.48,716.0,453.9,1169.9
7,2018-02-12,51.55,51.775,51.485,51.77,528.6,402.0,930.6
8,2018-02-13,51.93,52.0,51.84,51.98,519.5,503.5,1023.0
9,2018-02-14,52.03,52.12,51.905,52.12,568.9,371.0,939.9
10,2018-02-15,52.08,52.08,51.955,52.0,316.0,262.5,578.5
11,2018-02-19,52.3,52.45,52.24,52.34,435.2,590.3,1025.5
12,2018-02-20,52.28,52.31,52.165,52.24,484.3,493.5,977.8
13,2018-02-21,52.165,52.21,52.06,52.1,597.45,368.5,965.95
14,2018-02-22,52.13,52.17,52.03,52.1,421.9,246.5,668.4
15,2018-02-23,52.0,52.05,51.82,51.89,347.6,308.7,656.3
16,2018-02-26,51.8,51.88,51.75,51.86,299.6,216.4,516.0
17,2018-02-27,51.95,52.07,51.95,52.03,458.7,190.0,648.7
18,2018-02-28,52.15,52.18,51.99,52.1,368.6,283.5,652.1
19,2018-04-02,52.13,52.18,52.0,52.035,160.5,343.5,507.0
20,2018-04-03,52.08,52.08,51.94,52.08,398.7,258.8,657.5
21,2018-04-04,52.0,52.14,51.99,52.12,221.9,282.5,504.4
22,2018-04-05,52.125,52.16,52.09,52.115,280.0,202.0,483.0
23,2018-04-06,52.15,52.16,52.01,52.02,376.2,269.6,645.8
24,2018-04-10,52.015,52.03,51.96,52.0,344.2,226.44,570.64
25,2018-04-11,51.92,51.965,51.91,51.945,360.1,223.5,583.6
26,2018-04-12,51.99,52.05,51.97,52.03,406.7,220.5,627.2
27,2018-04-13,52.04,52.045,51.935,51.95,245.05,277.6,522.65
28,2018-04-16,51.92,52.11,51.92,52.07,262.2,255.9,518.1
29,2018-04-17,52.05,52.11,52.05,52.05,255.3,172.0,427.3
30,2018-04-18,52.05,52.135,52.05,52.07,322.5,179.5,502.0
31,2018-04-19,52.05,52.12,52.025,52.1,356.95,297.5,654.45
32,2018-04-20,52.16,52.17,52.09,52.095,228.65,100.85,329.5
33,2018-04-23,52.13,52.26,52.12,52.24,312.1,445.1,757.2
34,2018-04-24,52.355,52.365,52.25,52.32,317.21,303.0,620.21
35,2018-04-25,52.24,52.38,52.19,52.31,366.28,348.36,714.64
36,2018-04-26,52.25,52.28,52.15,52.15,390.5,345.7,736.2
37,2018-04-27,51.95,52.03,51.89,51.965,424.05,382.0,806.05
38,2018-04-30,51.68,51.795,51.67,51.74,343.1,213.1,556.2
39,2018-05-02,51.85,51.93,51.82,51.86,321.9,234.3,556.2
40,2018-05-03,51.95,51.95,51.67,51.67,380.1,343.0,723.1
41,2018-05-04,51.67,51.71,51.555,51.675,385.4,438.0,823.4
42,2018-05-05,51.68,51.92,51.68,51.87,295.5,325.5,585.0
43,2018-05-06,51.86,51.945,51.83,51.85,421.5,305.5,727.0
44,2018-05-09,52.0,52.055,51.95,52.015,456.0,277.9,733.9
45,2018-05-10,52.0,52.0,51.79,51.8,413.4,394.0,807.4
46,2018-05-11,51.95,51.21,51.9,52.19,630.0,495.9,1125.9
47,2018-05-15,52.36,52.5,52.25,52.29,453.0,895.5,1351.5
48,2018-05-16,52.37,52.4,52.22,52.285,462.0,400.9,862.9
49,2018-05-17,52.2,52.34,52.18,52.27,374.8,313.0,678.8
50,2018-05-18,52.27,52.36,52.25,52.33,370.1,320.7,690.8
51,2018-05-21,52.36,52.485,52.345,52.465,407.25,298.0,705.25
52,2018-05-22,52.3,52.38,52.195,52.195,296.5,454.15,52.338
53,2018-05-23,52.27,52.48,52.26,52.47,350.6,179.3,529.9
54,2018-05-24,52.5,52.6,52.45,52.55,546.55,353.4,899.95
55,2018-05-25,52.58,52.705,52.5,52.7,350.0,369.0,719.0
56,2018-05-28,52.635,52.64,52.465,52.49,329.4,308.0,637.4
57,2018-05-29,52.55,52.67,52.51,52.64,395.75,316.3,712.05
58,2018-05-30,52.715,52.755,52.6,52.6,390.1,296.0,686.1
59,2018-05-31,52.53,52.635,52.48,52.52,560.38,326.5,886.88
60,2018-06-01,52.56,52.635,52.55,52.55,283.5,304.0,587.5
61,2018-06-04,52.58,52.62,52.5,52.58,160.0,333.8,493.8
62,2018-06-05,52.58,52.62,52.4,52.4,246.2,400.5,646.7
63,2018-06-06,52.35,52.41,52.32,52.385,500.1,359.0,859.1
64,2018-06-07,52.42,52.5,52.38,52.49,241.2,216.2,457.4
65,2018-06-08,52.54,52.61,52.54,52.7,472.9,251.3,472.9
66,2018-06-11,52.8,52.95,52.8,52.95,389.5,263.6,653.1
67,2018-06-13,53.0,53.26,53.0,53.23,410.37,362.8,773.17
68,2018-06-14,53.3,53.37,53.26,53.27,375.95,420.5,796.45
69,2018-06-18,53.46,53.5,53.4,53.48,340.5,227.5,568.0
70,2018-06-19,53.39,53.49,53.31,53.44,395.2,338.5,733.7
71,2018-06-20,53.33,53.48,53.31,53.48,423.9,226.1,650.0
72,2018-06-21,53.39,53.5,53.35,53.46,475.25,385.7,860.95
73,2018-06-22,53.38,53.46,53.23,53.28,367.5,554.0,921.5
74,2018-06-25,53.35,53.46,53.32,53.44,226.0,223.2,449.2
75,2018-06-26,53.43,53.5,53.35,53.47,429.82,319.0,748.82
76,2018-06-27,53.55,53.55,53.42,53.475,745.2,173.5,918.7
77,2018-06-28,53.5,53.545,53.49,53.515,344.61,276.87,621.49
78,2018-06-29,53.48,53.5,53.29,53.34,436.5,418.9,855.4
79,2018-07-02,53.4,53.445,53.34,53.43,238.2,229.65,467.85
